epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1099.15,0.45884,0.48364,0.55559,0.83797,0,0.97567,0.97525,0.98961,0.91855,0.97567,0.97525,0.98906,0.88687,0.34682,0.55912,0.50037,0.78131,0,0.0009035,0.0009035,0.0009035
30,1139.15,0.43438,0.55694,0.54054,0.8304,0,0.98094,0.96229,0.98498,0.91309,0.9821,0.95793,0.98613,0.89473,0.37295,0.45867,0.51577,0.78672,0,0.000891125,0.000891125,0.000891125
31,1181.6,0.45454,0.56966,0.54478,0.82889,0,0.98682,0.94946,0.97232,0.90667,0.98682,0.94946,0.97009,0.87772,0.35625,0.48783,0.53956,0.78316,0,0.00087875,0.00087875,0.00087875
32,1223.25,0.44345,0.53759,0.54048,0.82869,0,0.98606,0.97611,0.98919,0.91351,0.99183,0.97038,0.98768,0.89339,0.35287,0.40227,0.48424,0.78486,0,0.000866375,0.000866375,0.000866375
33,1264.93,0.41318,0.52809,0.50477,0.8247,0,0.99477,0.97114,0.99179,0.91391,0.99477,0.97114,0.99122,0.88709,0.35039,0.38454,0.46424,0.78528,0,0.000854,0.000854,0.000854
34,1308.38,0.44033,0.54735,0.52266,0.82086,0,0.99553,0.94873,0.97356,0.90688,0.99553,0.94873,0.97016,0.87135,0.34308,0.38751,0.46739,0.78312,0,0.000841625,0.000841625,0.000841625
35,1350.12,0.43232,0.51005,0.50372,0.83673,0,0.9872,0.96276,0.98644,0.92292,0.9872,0.96276,0.98531,0.88611,0.33996,0.38022,0.45634,0.78247,0,0.00082925,0.00082925,0.00082925
36,1397.11,0.43177,0.52861,0.50979,0.83271,0,0.99243,0.95975,0.9846,0.92926,0.99243,0.95975,0.98464,0.89896,0.32264,0.39533,0.46145,0.7831,0,0.000816875,0.000816875,0.000816875
37,1443.98,0.42458,0.5317,0.50074,0.83365,0,0.99678,0.96264,0.98763,0.92858,0.99678,0.96264,0.98939,0.88908,0.31356,0.38939,0.43989,0.77929,0,0.0008045,0.0008045,0.0008045
38,1504.88,0.40409,0.47446,0.48982,0.8261,0,0.99495,0.91659,0.93967,0.87994,0.99495,0.91659,0.93695,0.85156,0.32682,0.39011,0.45567,0.78093,0,0.000792125,0.000792125,0.000792125
39,1566.13,0.40928,0.51314,0.48101,0.82736,0,0.99713,0.92329,0.94825,0.88941,0.996,0.92531,0.94556,0.85363,0.3286,0.41964,0.45778,0.78148,0,0.00077975,0.00077975,0.00077975
40,1615.83,0.39106,0.51637,0.45915,0.82868,0,0.99535,0.96658,0.98671,0.92968,0.99653,0.95822,0.98533,0.89261,0.31764,0.38879,0.43337,0.77894,0,0.000767375,0.000767375,0.000767375
41,1667.02,0.38306,0.46115,0.452,0.83023,0,0.9951,0.92848,0.94611,0.89426,0.99225,0.92577,0.94611,0.85663,0.30585,0.3712,0.41782,0.77667,0,0.000755,0.000755,0.000755
42,1721.06,0.40332,0.52465,0.46121,0.82651,0,0.9954,0.97213,0.99043,0.93947,0.98973,0.96664,0.99191,0.89694,0.32138,0.39904,0.41682,0.777,0,0.000742625,0.000742625,0.000742625
43,1774.52,0.39821,0.5077,0.46165,0.82981,0,0.99548,0.94443,0.9626,0.91458,0.99263,0.94172,0.95963,0.87114,0.30828,0.41232,0.40763,0.77706,0,0.00073025,0.00073025,0.00073025
44,1829.06,0.39244,0.47566,0.46164,0.81844,0,0.99518,0.90728,0.92361,0.87097,0.9952,0.89767,0.91868,0.82663,0.30594,0.37396,0.39909,0.77482,0,0.000717875,0.000717875,0.000717875
45,1884.6,0.38732,0.46135,0.45012,0.82671,0,0.99271,0.96664,0.98356,0.93189,0.98934,0.96781,0.98256,0.89886,0.29929,0.34569,0.38936,0.77359,0,0.0007055,0.0007055,0.0007055
46,1943.52,0.37806,0.42524,0.43385,0.83056,0,0.9915,0.98441,0.9918,0.94521,0.98948,0.97776,0.99403,0.89984,0.28663,0.36467,0.37811,0.77052,0,0.000693125,0.000693125,0.000693125
47,1996.57,0.38217,0.46725,0.42577,0.82627,0,0.99747,0.98198,0.9929,0.94802,0.99187,0.97649,0.99354,0.89686,0.27934,0.38954,0.37977,0.77247,0,0.00068075,0.00068075,0.00068075
48,2056.67,0.38331,0.45291,0.42282,0.82996,0,0.99409,0.93379,0.94879,0.90348,0.98516,0.92556,0.94207,0.85122,0.29006,0.40645,0.38182,0.77625,0,0.000668375,0.000668375,0.000668375
49,2125.82,0.38534,0.45284,0.42492,0.82769,0,0.98574,0.64074,0.6516,0.62219,0.97725,0.63525,0.64669,0.58518,0.27781,0.37703,0.37165,0.77325,0,0.000656,0.000656,0.000656
50,2192.12,0.38402,0.47123,0.42095,0.82095,0,0.99792,0.75053,0.76743,0.72703,0.98003,0.75578,0.76149,0.68805,0.28736,0.37136,0.36674,0.77319,0,0.000643625,0.000643625,0.000643625
51,2256.79,0.38157,0.50118,0.43084,0.82127,0,0.99617,0.94597,0.95521,0.90564,0.99165,0.94633,0.95208,0.85636,0.29266,0.34737,0.37066,0.77265,0,0.00063125,0.00063125,0.00063125
52,2314.23,0.35613,0.44019,0.40928,0.81496,0,0.98657,0.98602,0.99139,0.94382,0.99145,0.97078,0.99102,0.89029,0.28749,0.34373,0.36063,0.77212,0,0.000618875,0.000618875,0.000618875
53,2370.55,0.36505,0.46616,0.40349,0.81887,0,0.99174,0.97994,0.99404,0.9432,0.9933,0.96664,0.9863,0.8876,0.28666,0.38186,0.35495,0.77205,0,0.0006065,0.0006065,0.0006065
54,2437.45,0.36114,0.41967,0.39625,0.82513,0,0.98808,0.84099,0.85039,0.80005,0.97844,0.83273,0.84396,0.76473,0.30553,0.35165,0.36253,0.77241,0,0.000594125,0.000594125,0.000594125
55,2508.9,0.36968,0.46318,0.40734,0.82253,0,0.99601,0.92434,0.9397,0.89257,0.9894,0.93051,0.93853,0.84922,0.29504,0.3556,0.35034,0.77138,0,0.00058175,0.00058175,0.00058175
56,2567.82,0.35945,0.41892,0.39698,0.82073,0,0.99506,0.97213,0.98759,0.94503,0.98055,0.98401,0.99153,0.90087,0.28429,0.33968,0.34339,0.77027,0,0.000569375,0.000569375,0.000569375
57,2630.38,0.35483,0.48116,0.39208,0.8167,0,0.99062,0.97795,0.98796,0.95106,0.98793,0.97529,0.99334,0.90793,0.27652,0.35446,0.34296,0.76982,0,0.000557,0.000557,0.000557
58,2697.87,0.34935,0.43986,0.39153,0.81028,0,0.99686,0.96787,0.98792,0.95066,0.99413,0.96516,0.99379,0.89722,0.26977,0.37008,0.33607,0.76891,0,0.000544625,0.000544625,0.000544625
59,2758.03,0.35686,0.4569,0.38252,0.81691,0,0.98478,0.9858,0.98882,0.95396,0.98491,0.98587,0.99446,0.89466,0.26279,0.35244,0.33585,0.77008,0,0.00053225,0.00053225,0.00053225
